Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 99, loss: 1.806597, validation acc: 0.763699, validation avg acc: 0.762171
Train 100, loss: 1.324778, train acc: 0.996528, train avg acc: 0.996575
Valdation 100, loss: 1.828945, validation acc: 0.777397, validation avg acc: 0.779372
Train 101, loss: 1.321454, train acc: 0.994792, train avg acc: 0.995025
Valdation 101, loss: 1.798087, validation acc: 0.787671, validation avg acc: 0.789436
Train 102, loss: 1.316645, train acc: 0.998264, train avg acc: 0.998230
Valdation 102, loss: 1.811300, validation acc: 0.791096, validation avg acc: 0.793947
Train 103, loss: 1.314698, train acc: 0.995660, train avg acc: 0.995929
Valdation 103, loss: 1.854405, validation acc: 0.756849, validation avg acc: 0.754228
Train 104, loss: 1.333253, train acc: 0.993056, train avg acc: 0.993515
Valdation 104, loss: 1.896449, validation acc: 0.739726, validation avg acc: 0.737651
Train 105, loss: 1.320404, train acc: 0.996528, train avg acc: 0.996663
Valdation 105, loss: 1.767790, validation acc: 0.818493, validation avg acc: 0.819008
Train 106, loss: 1.319563, train acc: 0.995660, train avg acc: 0.995809
Valdation 106, loss: 1.807448, validation acc: 0.780822, validation avg acc: 0.783970
Train 107, loss: 1.308866, train acc: 0.997396, train avg acc: 0.997471
Valdation 107, loss: 1.775325, validation acc: 0.804795, validation avg acc: 0.806072
Train 108, loss: 1.319295, train acc: 0.995660, train avg acc: 0.995849
Valdation 108, loss: 1.824018, validation acc: 0.780822, validation avg acc: 0.780926
Train 109, loss: 1.313866, train acc: 0.996528, train avg acc: 0.996562
Valdation 109, loss: 1.768597, validation acc: 0.801370, validation avg acc: 0.800425
Train 110, loss: 1.316558, train acc: 0.993056, train avg acc: 0.993310
Valdation 110, loss: 1.803050, validation acc: 0.811644, validation avg acc: 0.815738
Train 111, loss: 1.315311, train acc: 0.997396, train avg acc: 0.997406
Valdation 111, loss: 1.783289, validation acc: 0.804795, validation avg acc: 0.808394
Train 112, loss: 1.316472, train acc: 0.997396, train avg acc: 0.997406
Valdation 112, loss: 1.809412, validation acc: 0.773973, validation avg acc: 0.774038
Train 113, loss: 1.308409, train acc: 0.996528, train avg acc: 0.996568
Valdation 113, loss: 1.760903, validation acc: 0.787671, validation avg acc: 0.788129
Train 114, loss: 1.309562, train acc: 0.997396, train avg acc: 0.997418
