Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 135, loss: 1.629012, validation acc: 0.890411, validation avg acc: 0.890547
Train 136, loss: 1.298169, train acc: 0.998264, train avg acc: 0.998403
Valdation 136, loss: 1.636304, validation acc: 0.856164, validation avg acc: 0.856651
Train 137, loss: 1.292809, train acc: 0.996528, train avg acc: 0.996624
Valdation 137, loss: 1.672759, validation acc: 0.859589, validation avg acc: 0.860792
Train 138, loss: 1.292403, train acc: 0.998264, train avg acc: 0.998271
Valdation 138, loss: 1.635400, validation acc: 0.863014, validation avg acc: 0.860966
Train 139, loss: 1.293423, train acc: 0.999132, train avg acc: 0.999048
Valdation 139, loss: 1.631567, validation acc: 0.869863, validation avg acc: 0.868936
Train 140, loss: 1.294494, train acc: 0.999132, train avg acc: 0.999060
Valdation 140, loss: 1.588206, validation acc: 0.897260, validation avg acc: 0.898112
Train 141, loss: 1.295020, train acc: 0.997396, train avg acc: 0.997490
Valdation 141, loss: 1.662371, validation acc: 0.852740, validation avg acc: 0.853731
Train 142, loss: 1.303521, train acc: 0.994792, train avg acc: 0.995082
Valdation 142, loss: 1.654744, validation acc: 0.845890, validation avg acc: 0.844484
Train 143, loss: 1.298257, train acc: 0.999132, train avg acc: 0.999169
Valdation 143, loss: 1.723416, validation acc: 0.818493, validation avg acc: 0.815736
Train 144, loss: 1.293744, train acc: 0.997396, train avg acc: 0.997467
Valdation 144, loss: 1.659863, validation acc: 0.856164, validation avg acc: 0.858251
Train 145, loss: 1.292063, train acc: 0.998264, train avg acc: 0.998457
Valdation 145, loss: 1.603994, validation acc: 0.880137, validation avg acc: 0.879922
Train 146, loss: 1.295310, train acc: 0.998264, train avg acc: 0.998457
Valdation 146, loss: 1.640664, validation acc: 0.880137, validation avg acc: 0.881572
Train 147, loss: 1.291142, train acc: 0.996528, train avg acc: 0.996835
Valdation 147, loss: 1.621058, validation acc: 0.869863, validation avg acc: 0.871415
Train 148, loss: 1.295873, train acc: 0.998264, train avg acc: 0.998239
Valdation 148, loss: 1.636619, validation acc: 0.845890, validation avg acc: 0.841625
Train 149, loss: 1.297018, train acc: 0.998264, train avg acc: 0.998214
Valdation 149, loss: 1.647479, validation acc: 0.876712, validation avg acc: 0.878028
Train 150, loss: 1.292420, train acc: 0.999132, train avg acc: 0.999278
Valdation 150, loss: 1.616434, validation acc: 0.863014, validation avg acc: 0.863439
Train 151, loss: 1.288594, train acc: 0.999132, train avg acc: 0.999060
Valdation 151, loss: 1.605890, validation acc: 0.876712, validation avg acc: 0.878303
Train 152, loss: 1.289185, train acc: 0.998264, train avg acc: 0.998300
Valdation 152, loss: 1.601529, validation acc: 0.883562, validation avg acc: 0.884058
Train 153, loss: 1.289897, train acc: 0.998264, train avg acc: 0.998217
Valdation 153, loss: 1.674916, validation acc: 0.845890, validation avg acc: 0.838363
Train 154, loss: 1.291787, train acc: 0.998264, train avg acc: 0.998339
Valdation 154, loss: 1.613479, validation acc: 0.886986, validation avg acc: 0.886577
Train 155, loss: 1.288665, train acc: 0.998264, train avg acc: 0.998450
Valdation 155, loss: 1.622546, validation acc: 0.869863, validation avg acc: 0.867762
Train 156, loss: 1.289765, train acc: 0.999132, train avg acc: 0.999179
Valdation 156, loss: 1.617291, validation acc: 0.866438, validation avg acc: 0.863766
Train 157, loss: 1.289362, train acc: 1.000000, train avg acc: 1.000000
Valdation 157, loss: 1.621485, validation acc: 0.863014, validation avg acc: 0.863261
Train 158, loss: 1.286200, train acc: 0.999132, train avg acc: 0.999179
Valdation 158, loss: 1.640303, validation acc: 0.863014, validation avg acc: 0.860770
Train 159, loss: 1.291398, train acc: 0.998264, train avg acc: 0.998267
Valdation 159, loss: 1.628392, validation acc: 0.873288, validation avg acc: 0.870219
Train 160, loss: 1.295008, train acc: 0.998264, train avg acc: 0.998376
Valdation 160, loss: 1.639756, validation acc: 0.873288, validation avg acc: 0.873348
Train 161, loss: 1.291785, train acc: 0.998264, train avg acc: 0.998230
Valdation 161, loss: 1.606725, validation acc: 0.863014, validation avg acc: 0.864609
Train 162, loss: 1.291098, train acc: 0.999132, train avg acc: 0.999060
Valdation 162, loss: 1.614928, validation acc: 0.880137, validation avg acc: 0.879286
Train 163, loss: 1.288318, train acc: 0.998264, train avg acc: 0.998411
Valdation 163, loss: 1.628086, validation acc: 0.856164, validation avg acc: 0.859154
Train 164, loss: 1.291962, train acc: 0.999132, train avg acc: 0.999179
Valdation 164, loss: 1.614078, validation acc: 0.873288, validation avg acc: 0.873811
Train 165, loss: 1.288100, train acc: 0.998264, train avg acc: 0.998324
Valdation 165, loss: 1.625406, validation acc: 0.883562, validation avg acc: 0.884523
Train 166, loss: 1.285801, train acc: 0.998264, train avg acc: 0.998210
Valdation 166, loss: 1.616245, validation acc: 0.876712, validation avg acc: 0.875605
Train 167, loss: 1.288843, train acc: 0.999132, train avg acc: 0.999232
